,up_x_R,up_y_R,bottom_x_R,bottom_y_R,left_x_R,left_y_R,right_x_R,right_y_R,med_x_R,med_y_R,up_x_L,up_y_L,bottom_x_L,bottom_y_L,left_x_L,left_y_L,right_x_L,right_y_L,med_x_L,med_y_L,sum_left,sum_right,left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y
10,1.0,1.0,26.0,26.0,0.0,3.0,25.0,27.0,12.0,19.0,16.0,9.0,19.0,25.0,12.0,21.0,26.0,23.0,19.0,20.0,1019.0470581054688,937.184326171875,66.5747368421,37.308,30.4452631579,37.308
11,3.0,0.0,11.0,32.0,0.0,3.0,31.0,17.0,15.0,17.0,16.0,11.0,11.0,31.0,4.0,18.0,30.0,17.0,13.0,19.0,964.9332885742188,816.8588256835938,65.2705882353,34.9402352941,33.022745098,32.9769411765
12,11.0,10.0,15.0,22.0,5.0,21.0,17.0,19.0,13.0,19.0,17.0,14.0,25.0,25.0,16.0,22.0,25.0,24.0,19.0,23.0,1053.9765625,1037.01171875,66.60715789470001,38.9381052632,28.596210526300002,36.3031578947
13,8.0,0.0,27.0,29.0,3.0,22.0,30.0,20.0,12.0,21.0,7.0,16.0,8.0,24.0,8.0,16.0,22.0,20.0,18.0,20.0,1050.1529541015625,1019.051025390625,68.4912941176,35.9002352941,27.831215686300002,37.0221176471
14,17.0,15.0,15.0,23.0,8.0,19.0,25.0,20.0,17.0,19.0,13.0,14.0,16.0,21.0,10.0,17.0,24.0,17.0,16.0,17.0,1030.4078369140625,1023.8274536132812,66.6769411765,33.9412235294,30.7136470588,36.1495058824
15,19.0,15.0,21.0,24.0,10.0,20.0,27.0,21.0,19.5,19.0,18.0,12.0,17.0,22.0,10.0,18.0,25.0,20.0,16.0,18.0,1028.4666748046875,1016.86279296875,66.8504275862,35.6369875862,32.5281103448,36.5246234483
16,21.0,7.0,15.0,23.0,6.0,21.0,22.0,22.0,14.0,20.0,22.0,8.0,22.0,26.0,11.0,22.0,31.0,25.0,20.0,22.0,1004.6392211914062,1041.454833984375,67.83950769229999,38.5979076923,28.0167384615,36.3977353846
17,6.0,7.0,23.0,29.0,1.0,21.0,26.0,25.0,13.0,20.0,23.0,9.0,9.0,30.0,4.0,25.0,28.0,25.0,17.0,21.0,939.2117919921875,936.811767578125,69.2334545455,40.0215272727,25.550836363600002,38.0718545455
18,11.0,13.0,24.0,28.0,10.0,13.0,28.0,21.0,18.0,22.0,32.0,2.0,17.0,25.0,10.0,20.0,32.0,9.0,16.0,19.0,1010.9412231445312,996.3411865234375,65.5956,36.6264,31.5408,39.3078
19,12.0,1.0,23.0,24.0,10.0,22.0,26.0,21.0,18.0,20.0,15.0,13.0,17.0,22.0,8.0,18.0,23.0,19.0,14.0,18.0,1028.9019775390625,1018.37646484375,64.7624661654,34.9333894737,31.859729323299998,37.191482706799995
20,13.0,11.0,25.0,24.0,5.0,20.0,26.0,22.0,16.0,21.0,31.0,1.0,7.0,26.0,4.0,21.0,32.0,4.0,15.5,20.0,1037.807861328125,1062.423583984375,66.0827368421,37.1537052632,27.978315789499998,37.435957894699996
21,15.0,12.0,25.0,27.0,9.0,24.0,27.0,23.0,17.0,22.0,32.0,0.0,17.0,23.0,10.0,12.0,32.0,13.0,17.0,18.0,1010.6980590820312,1015.7882690429688,64.71858227850001,35.861225316500004,31.5906835443,39.1193924051
22,22.0,1.0,13.0,21.0,3.0,17.0,30.0,15.0,14.0,19.0,7.0,16.0,19.0,20.0,6.0,19.0,19.0,20.0,16.0,18.0,1063.682373046875,1048.12158203125,66.3343157895,33.7212631579,29.077052631599997,34.0976842105
23,17.0,17.0,0.0,27.0,0.0,28.0,17.0,15.0,0.0,25.5,5.0,19.0,5.0,19.0,5.0,19.0,5.0,19.0,5.0,19.0,1088.015625,1079.2666015625,65.3184,35.2704,30.309580800000003,38.702591999999996
24,17.0,11.0,13.0,26.0,7.0,24.0,21.0,24.0,15.0,23.0,31.0,1.0,19.0,25.0,9.0,22.0,32.0,1.0,17.0,22.0,1029.2391357421875,1046.12158203125,65.3769142857,38.1289142857,29.2155428571,39.5588571429
25,7.0,2.0,22.0,24.0,0.0,8.0,25.0,21.0,11.0,12.0,30.0,7.0,32.0,21.0,11.0,13.0,32.0,18.0,23.0,13.0,944.4666748046875,883.60791015625,72.3531851852,34.4170666667,28.6554074074,32.8280296296
26,0.0,1.0,15.0,22.0,0.0,3.0,16.0,21.0,13.0,18.0,30.0,1.0,15.0,23.0,14.0,15.0,32.0,9.0,18.0,18.0,1033.1175537109375,1044.6549072265625,64.9562926829,35.2355121951,29.1166829268,35.2355121951
27,7.0,6.0,25.0,25.0,1.0,9.0,25.0,23.0,11.0,13.0,20.0,13.0,21.0,25.0,13.0,17.0,30.0,14.0,21.0,16.0,1002.8509521484375,919.325439453125,69.4417534247,37.8516164384,28.6934794521,35.6966575342
28,14.0,15.0,15.0,21.0,11.0,16.0,19.0,12.0,16.0,17.0,32.0,1.0,23.0,24.0,11.0,19.0,32.0,9.0,21.0,19.0,1014.6039428710938,1059.2548828125,67.5088695652,35.7276521739,30.6683478261,33.6292173913
29,25.0,16.0,26.0,23.0,0.0,19.0,26.0,20.0,0.5,20.5,4.0,22.0,4.0,20.0,4.0,24.0,4.0,21.0,4.0,21.0,1084.494140625,1070.556884765625,65.3780719424,35.6320230216,30.1909640288,34.3974215827
30,3.0,0.0,3.0,24.0,0.0,3.0,14.0,12.0,9.0,20.0,14.0,19.0,27.0,22.0,15.0,20.0,25.0,21.0,18.5,20.5,1054.580322265625,1032.8587646484375,66.05951999999999,36.84864,26.58912,37.70688
31,9.0,8.0,10.0,32.0,0.0,16.0,30.0,17.0,16.0,18.0,19.0,10.0,10.0,31.0,3.0,18.0,29.0,31.0,14.0,18.0,929.1019287109375,807.486328125,64.7124897959,34.2680816327,30.8571428571,32.2253061224
32,14.0,15.0,21.0,26.0,8.0,21.0,27.0,19.0,19.0,20.0,32.0,1.0,14.0,24.0,8.0,18.0,32.0,3.0,15.0,18.0,990.807861328125,978.431396484375,66.2149565217,35.637773913000004,30.462608695700002,37.503095652199995
33,10.0,6.0,10.0,19.0,7.0,6.0,28.0,11.0,12.0,9.0,20.0,8.0,17.0,19.0,3.0,11.0,26.0,9.0,17.0,11.0,1031.7254638671875,1038.8626708984375,67.03968,32.372015999999995,27.13968,32.372015999999995
34,2.0,3.0,3.0,1.0,3.0,1.0,2.0,4.0,3.0,2.0,30.0,1.0,32.0,22.0,30.0,3.0,32.0,22.0,31.0,9.0,1036.9058837890625,1084.8392333984375,64.3324931507,34.6072767123,32.8898630137,37.2519452055
35,13.0,7.0,27.0,31.0,1.0,16.0,28.0,30.0,17.0,20.5,21.0,9.0,10.0,27.0,5.0,23.0,27.0,24.0,17.0,21.0,1009.5137329101562,977.7725830078125,69.3751578947,37.9984,28.730105263200002,36.8693894737
36,13.0,13.0,15.0,27.0,5.0,27.0,24.0,21.0,17.0,22.0,13.0,11.0,26.0,26.0,5.0,22.0,29.0,24.0,14.0,21.0,978.7372436523438,1014.0784301757812,65.79569230770001,38.3009230769,30.8683076923,40.2258461538
37,0.0,2.0,14.0,22.0,1.0,0.0,19.0,13.0,13.0,18.0,16.0,15.0,25.0,25.0,16.0,22.0,25.0,25.0,19.0,23.0,1053.11767578125,1028.4039306640625,67.00075471699999,39.1553207547,28.954867924499997,36.3220528302
38,0.0,3.0,26.0,25.0,0.0,3.0,27.0,23.0,15.0,19.0,15.0,11.0,8.0,28.0,4.0,20.0,27.0,24.0,16.0,20.0,943.1058959960938,940.188232421875,66.2255575221,38.0610265487,29.017486725700003,37.3015221239
39,6.0,12.0,23.0,30.0,1.0,13.0,27.0,27.0,15.0,20.0,15.0,13.0,6.0,29.0,4.0,26.0,27.0,27.0,16.0,20.0,977.674560546875,944.1058959960938,65.36709933770001,38.5818278146,30.7034701987,38.2976423841
40,14.0,12.0,16.0,21.0,7.0,21.0,17.0,18.0,14.0,19.0,20.0,11.0,18.0,21.0,15.0,13.0,24.0,18.0,19.0,18.0,1042.36083984375,1050.89013671875,67.5193043478,35.2512,29.28,36.6501913043
41,14.0,14.0,20.0,26.0,7.0,24.0,24.0,23.0,18.0,22.0,14.0,12.0,26.0,26.0,5.0,20.0,29.0,23.0,14.0,21.0,976.6705322265625,1020.180419921875,65.6286967742,38.0766967742,31.3059096774,39.183483871
42,18.0,10.0,14.0,25.0,8.0,11.0,24.0,23.0,16.0,20.0,16.0,13.0,18.0,28.0,11.0,16.0,27.0,26.0,18.5,23.0,979.7725830078125,980.2156982421875,66.8249491525,40.9122711864,31.557152542399997,38.0029830508
43,3.0,21.0,2.0,25.0,2.0,23.0,3.0,22.0,2.0,23.0,31.0,2.0,30.0,0.0,31.0,2.0,30.0,0.0,30.0,1.0,1084.9530029296875,1077.1490478515625,65.1795692308,37.0995692308,30.526523076900002,37.0995692308
44,12.0,11.0,20.0,25.0,11.0,23.0,24.0,24.0,18.0,22.0,19.0,11.0,18.0,25.0,11.0,22.0,23.0,24.0,17.0,23.0,1035.7333984375,1024.7725830078125,65.72171779140001,39.061398773,33.0840736196,39.061398773
45,18.0,10.0,27.0,29.0,3.0,28.0,30.0,24.0,19.0,20.0,17.0,10.0,6.0,30.0,2.0,24.0,31.0,24.0,14.0,20.0,946.1607055664062,980.1607666015625,64.3081411765,36.5630117647,31.247435294099997,37.067858823499996
46,17.0,14.0,23.0,25.0,8.0,20.0,27.0,19.0,19.0,20.0,32.0,1.0,11.0,24.0,8.0,17.0,32.0,5.0,15.0,17.0,997.9765014648438,981.2313842773438,65.81543661970001,35.0796169014,31.0701971831,36.2881352113
47,2.0,5.0,2.0,5.0,2.0,5.0,2.0,5.0,2.0,5.0,31.0,3.0,31.0,23.0,30.0,7.0,32.0,22.0,31.0,11.0,1043.62744140625,1088.2823486328125,63.483914893599994,37.4281531915,32.4473191489,38.3409702128
48,0.0,1.0,22.0,28.0,0.0,3.0,27.0,22.0,19.0,19.5,14.0,11.0,7.0,28.0,4.0,20.0,24.0,24.0,14.0,22.0,950.7529907226562,950.0117797851562,67.42426890760001,39.6287193277,28.4869915966,37.4655731092
49,4.0,0.0,16.0,23.0,0.0,4.0,16.0,23.0,7.5,20.0,15.0,19.0,19.0,22.0,15.0,21.0,22.0,20.0,18.0,20.0,1062.3096923828125,1030.4705810546875,64.9971891892,36.6763243243,29.4374054054,37.4486486486
50,7.0,1.0,13.0,23.0,6.0,22.0,19.0,15.0,14.0,19.5,15.0,13.0,20.0,21.0,13.0,18.0,25.0,18.0,18.0,18.0,1025.9019775390625,1043.560791015625,66.3457959184,35.7196408163,29.5719183673,36.157420408200004
51,1.0,9.0,28.0,31.0,0.0,12.0,30.0,28.0,15.0,20.0,17.0,9.0,8.0,28.0,5.0,23.0,27.0,23.0,18.0,21.0,1028.411865234375,1021.7020263671875,68.37643636359999,38.341440000000006,30.1536,37.561396363600004
52,3.0,0.0,14.0,24.0,0.0,3.0,18.0,22.0,8.0,13.0,20.0,12.0,27.0,23.0,18.0,23.0,25.0,23.0,21.0,23.0,1071.015625,1029.450927734375,67.6909879518,37.8586987952,31.035180722899998,38.1183614458
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,28.0,0.0,29.0,1.0,28.0,0.0,28.5,0.5,1085.419677734375,1088.1019287109375,66.3188292683,38.5266731707,32.4846829268,38.1778731707
54,1.0,1.0,14.0,26.0,0.0,3.0,24.0,24.0,12.0,18.0,15.0,13.0,17.0,28.0,8.0,22.0,27.0,28.0,18.0,21.0,937.9764404296875,901.678466796875,65.9606068966,40.8999724138,29.0555586207,38.5191724138
55,0.0,1.0,14.0,23.0,0.0,3.0,17.0,12.0,13.0,19.0,31.0,0.0,32.0,24.0,14.0,19.0,32.0,21.0,29.0,16.0,978.9803466796875,1045.948974609375,65.4343529412,36.8581647059,29.2611764706,36.2973490196
56,9.0,8.0,27.0,25.0,1.0,26.0,30.0,19.0,14.0,21.0,2.0,18.0,3.0,25.0,2.0,21.0,24.0,21.0,12.0,21.0,1047.7412109375,1012.6039428710938,65.4424615385,36.5344615385,29.1396923077,36.5344615385
57,9.0,7.0,16.0,26.0,2.0,19.0,28.0,21.0,17.0,19.0,13.0,7.0,5.0,30.0,1.0,11.0,30.0,21.0,14.0,19.0,916.7882080078125,919.443115234375,65.7883489933,34.745685906,26.6280805369,34.745685906
58,8.0,6.0,25.0,24.0,2.0,9.0,25.0,23.0,12.0,12.0,19.0,11.0,24.0,25.0,11.0,21.0,28.0,11.0,19.0,14.0,1002.7960815429688,922.38427734375,67.26504672899999,37.8271401869,28.772635514,36.222953271
59,7.0,4.0,22.0,24.0,0.0,11.0,26.0,17.0,10.0,12.0,30.0,6.0,26.0,24.0,11.0,11.0,32.0,9.0,20.5,10.0,993.4000244140625,920.8784790039062,70.2163692308,36.6286769231,27.5328,36.4086646154
60,4.0,6.0,18.0,22.0,0.0,11.0,20.0,22.0,9.0,12.0,28.0,10.0,20.0,23.0,11.0,12.0,29.0,20.0,19.0,13.5,1018.7568969726562,960.7568969726562,68.1066146341,35.9981736585,27.296312195100004,34.9517268293
61,4.0,14.0,30.0,23.0,3.0,15.0,29.0,26.0,7.0,15.0,30.0,1.0,32.0,26.0,3.0,25.0,32.0,20.0,31.0,16.0,1050.176513671875,1072.7176513671875,64.9523007519,37.5179548872,31.207218045100003,34.9216240602
62,11.0,9.0,12.0,26.0,2.0,19.0,21.0,19.0,11.0,19.0,21.0,8.0,22.0,25.0,11.0,19.0,27.0,11.0,18.0,19.0,1006.3450927734375,941.5098266601562,65.3785263158,36.9587368421,28.9673684211,37.5227368421
63,16.0,11.0,26.0,26.0,8.0,22.0,26.0,25.0,17.0,20.0,30.0,0.0,12.0,27.0,3.0,22.0,32.0,6.0,13.0,18.0,927.058837890625,985.9843139648438,63.6832,36.15168,28.6456,36.86672
64,12.0,8.0,3.0,32.0,0.0,30.0,30.0,22.0,16.0,19.0,16.0,11.0,9.0,31.0,5.0,15.0,30.0,15.0,15.0,20.5,973.9646606445312,857.4157104492188,67.6449230769,35.8067692308,30.5169230769,33.0566153846
65,3.0,0.0,30.0,23.0,2.0,12.0,30.0,23.0,12.0,20.0,7.0,13.0,9.0,23.0,7.0,18.0,21.0,21.0,17.0,19.0,1048.568603515625,1015.4431762695312,68.1298823529,34.7927843137,28.5916862745,36.474980392199996
66,31.0,12.0,14.0,20.0,12.0,19.0,31.0,22.0,15.0,18.0,9.0,13.0,9.0,19.0,8.0,15.0,22.0,18.0,9.0,17.0,1069.87841796875,1066.839111328125,70.0206185567,31.7136494845,28.887092783499998,33.0398350515
67,12.0,10.0,25.0,28.0,1.0,16.0,27.0,32.0,15.0,21.0,19.0,11.0,10.0,28.0,5.0,19.0,27.0,21.0,15.0,21.0,998.7960815429688,1002.5921630859375,66.95837288140001,37.9956610169,28.782101694899996,37.6320813559
68,5.0,11.0,24.0,32.0,0.0,23.0,30.0,24.0,16.0,20.0,9.0,12.0,31.0,31.0,2.0,23.0,32.0,25.0,15.0,21.0,929.2745361328125,936.7254638671875,65.4865116279,38.407813953499996,30.3159069767,37.160372093
69,7.0,8.0,3.0,32.0,1.0,11.0,28.0,20.0,15.0,18.0,17.0,11.0,32.0,31.0,2.0,21.0,29.0,16.0,13.0,20.0,980.8196411132812,882.811767578125,66.0948,36.5574,29.0904,33.6078
70,12.0,8.0,29.0,31.0,2.0,12.0,28.0,31.0,17.0,20.0,22.0,11.0,12.0,29.0,5.0,24.0,29.0,25.0,16.0,21.0,939.2078247070312,930.6549072265625,68.4884210526,39.4930526316,28.596210526300002,36.1061052632
71,18.0,9.0,19.0,25.0,11.0,18.0,23.0,21.0,17.0,19.0,13.0,11.0,10.0,28.0,7.0,15.0,26.0,22.0,15.0,20.0,940.7647705078125,1007.1411743164062,65.7465263158,37.5886315789,29.6168421053,36.4596210526
72,3.0,0.0,12.0,25.0,0.0,3.0,17.0,3.0,8.0,16.0,17.0,20.0,15.0,24.0,15.0,21.0,24.0,21.0,18.0,21.0,1059.937255859375,1013.6510009765625,64.50771428569999,38.4651428571,28.8831428571,38.8482857143
73,10.0,7.0,27.0,26.0,5.0,20.0,29.0,21.0,18.0,19.0,12.0,8.0,6.0,30.0,2.0,20.0,31.0,20.0,15.0,20.0,933.2863159179688,933.7803955078125,66.9938255034,36.1027006711,27.2582013423,35.5268295302
74,17.0,18.0,13.0,21.0,11.0,19.0,17.0,18.0,14.0,20.0,1.0,15.0,12.0,22.0,1.0,15.0,24.0,17.0,14.0,18.0,1060.199951171875,1071.5372314453125,69.9711592357,33.5381808917,30.3470063694,34.9044993631
75,7.0,9.0,15.0,26.0,4.0,20.0,25.0,18.0,16.0,18.0,25.0,8.0,16.0,24.0,9.0,11.0,31.0,10.0,18.0,14.0,916.9215698242188,905.2627563476562,67.814061674,35.731876652,29.8251277533,37.2437709251
76,18.0,9.0,26.0,28.0,1.0,27.0,29.0,25.0,17.0,20.0,10.0,10.0,6.0,30.0,2.0,22.0,31.0,26.0,15.0,20.0,940.4351806640625,971.2313232421875,64.3976842105,36.6871578947,29.9621052632,36.6871578947
77,10.0,10.0,15.0,25.0,1.0,15.0,23.0,23.0,14.0,18.0,14.0,13.0,20.0,26.0,9.0,15.0,27.0,25.0,18.0,20.0,981.560791015625,979.4078369140625,66.0745074627,39.466029850700004,30.535164179099997,37.2250746269
78,18.0,10.0,25.0,32.0,0.0,21.0,31.0,24.0,16.0,21.0,18.0,12.0,6.0,31.0,3.0,25.0,32.0,22.0,16.0,22.0,930.2784423828125,931.294189453125,68.49600000000001,39.391407407399996,30.889481481500003,37.5377777778
79,13.0,11.0,28.0,32.0,4.0,22.0,31.0,29.0,17.0,21.0,16.0,13.0,28.0,23.0,15.0,14.0,28.0,23.0,20.0,21.0,1050.811767578125,983.37255859375,68.90205405409999,37.32,30.0570810811,35.580972973
80,0.0,2.0,3.0,28.0,0.0,3.0,25.0,25.0,2.0,21.5,32.0,1.0,31.0,0.0,32.0,1.0,31.0,0.0,31.0,1.0,1085.0078125,1048.5216064453125,66.1238709677,37.739612903200005,30.486193548400003,37.739612903200005
81,11.0,0.0,1.0,25.0,0.0,3.0,27.0,2.0,2.0,14.0,32.0,1.0,16.0,19.0,6.0,20.0,31.0,17.0,30.0,16.0,1063.7607421875,999.0941162109375,63.7184460432,33.1659971223,33.4701582734,34.0919482014
82,32.0,13.0,30.0,26.0,4.0,20.0,32.0,13.0,13.5,18.0,9.0,13.0,10.0,22.0,8.0,13.0,24.0,15.0,18.0,16.0,1051.37646484375,1041.498046875,68.9126037736,31.409116981100002,29.652226415100003,33.0280754717
83,8.0,10.0,27.0,31.0,1.0,25.0,27.0,31.0,14.0,21.0,22.0,8.0,7.0,28.0,4.0,20.0,28.0,21.0,15.0,20.0,989.7921142578125,979.1764526367188,68.64,36.0483459459,27.669621621599997,38.3673945946
84,16.0,14.0,22.0,24.0,10.0,20.0,25.0,20.0,18.0,19.0,13.0,12.0,17.0,22.0,7.0,17.0,22.0,20.0,13.0,18.0,1021.6431274414062,1014.0196533203125,63.471044776099994,34.732871641799996,32.094089552199996,36.333779104499996
85,15.0,15.0,20.0,26.0,9.0,20.0,27.0,20.0,19.0,20.0,30.0,2.0,17.0,25.0,8.0,20.0,30.0,5.0,15.0,20.0,997.4274291992188,992.7608032226562,65.5726993007,37.6206545455,31.069762237800003,37.020620979
86,20.0,9.0,29.0,27.0,5.0,21.0,31.0,21.0,18.0,21.0,14.0,10.0,31.0,29.0,3.0,23.0,32.0,24.0,16.0,21.0,933.501953125,979.6705322265625,65.8834285714,36.9138701299,30.781090909099998,36.6358441558
87,20.0,0.0,0.0,21.0,0.0,20.0,31.0,22.0,13.0,18.0,9.0,13.0,21.0,17.0,8.0,13.0,22.0,14.0,18.0,15.0,1069.7607421875,1056.13330078125,67.5762857143,31.1676857143,30.4191428571,34.232571428600004
88,6.0,3.0,21.0,21.0,0.0,8.0,23.0,19.0,10.0,10.0,28.0,8.0,30.0,22.0,11.0,13.0,32.0,13.0,23.0,12.0,965.5686645507812,927.61181640625,71.1106415094,35.9266415094,28.7474716981,34.8473358491
89,13.0,9.0,26.0,32.0,2.0,15.0,31.0,29.0,17.0,17.0,15.0,11.0,11.0,27.0,9.0,17.0,26.0,12.0,16.0,17.0,1035.937255859375,890.3176879882812,67.6717714286,34.9557942857,30.8982857143,34.0364571429
90,19.0,6.0,13.0,25.0,0.0,13.0,25.0,19.0,13.0,16.0,28.0,1.0,19.0,26.0,7.0,22.0,28.0,4.0,17.0,18.0,970.1450805664062,941.929443359375,64.3545882353,37.8621176471,28.8155294118,38.1797647059
91,7.0,0.0,6.0,29.0,4.0,29.0,27.0,21.0,16.0,22.0,26.0,0.0,10.0,22.0,5.0,16.0,29.0,9.0,13.0,14.0,978.1490478515625,968.62353515625,60.2786341463,33.9193756098,27.84,40.895453658499996
92,16.0,23.0,22.0,26.0,13.0,26.0,22.0,24.0,17.0,25.0,32.0,3.0,19.0,24.0,5.0,17.0,32.0,2.0,15.0,21.0,1051.37646484375,1068.1646728515625,64.5568831169,38.323948051900004,31.4044675325,40.831168831199996
93,0.0,1.0,23.0,24.0,0.0,5.0,23.0,23.0,16.0,14.0,21.0,11.0,27.0,24.0,14.0,12.0,23.0,23.0,18.5,23.0,1053.062744140625,1042.12158203125,69.12369230770001,38.8369230769,30.3458461538,39.3870769231
94,14.0,12.0,27.0,30.0,2.0,25.0,30.0,25.0,18.0,22.0,15.0,12.0,6.0,31.0,2.0,26.0,31.0,28.0,15.0,22.0,941.5842895507812,962.815673828125,65.87507692310001,38.7064615385,31.222153846199998,38.7064615385
95,10.0,8.0,21.0,23.0,7.0,9.0,22.0,23.0,13.0,18.0,19.0,4.0,18.0,19.0,15.0,17.0,24.0,6.0,19.0,15.0,1036.1451416015625,1023.2705688476562,68.5853245033,34.5473483444,29.0911788079,36.2521430464
96,11.0,11.0,20.0,26.0,6.0,14.0,26.0,19.0,17.0,18.0,26.0,10.0,14.0,24.0,9.0,14.0,30.0,14.0,19.0,16.5,919.0235595703125,912.505859375,67.9824827586,34.9617931034,29.5175172414,35.8862068966
97,26.0,2.0,26.0,3.0,13.0,21.0,26.0,3.0,26.0,2.0,17.0,20.0,17.0,20.0,17.0,20.0,17.0,20.0,17.0,20.0,1088.13330078125,1081.2117919921875,64.9928205128,34.2358974359,28.6900512821,34.9694358974
98,10.0,11.0,24.0,32.0,0.0,22.0,30.0,24.0,16.0,20.0,12.0,12.0,32.0,31.0,2.0,22.0,32.0,28.0,15.0,21.0,905.3961181640625,925.37255859375,65.8872426036,38.787976331399996,30.0923076923,37.5183905325
99,0.0,3.0,28.0,22.0,0.0,3.0,27.0,23.0,1.0,19.0,6.0,17.0,5.0,21.0,5.0,21.0,6.0,17.0,5.5,19.0,1087.4078369140625,1071.439208984375,66.2965581395,36.5179534884,30.3776744186,34.1893953488
100,24.0,18.0,24.0,18.0,24.0,18.0,24.0,18.0,24.0,18.0,3.0,18.0,3.0,18.0,3.0,18.0,3.0,18.0,3.0,18.0,1088.11767578125,1088.10986328125,66.3384201681,36.8414117647,26.3193277311,38.6444369748
101,0.0,1.0,5.0,32.0,0.0,3.0,29.0,19.0,13.0,18.0,16.0,11.0,9.0,30.0,3.0,16.0,27.0,32.0,13.0,17.0,998.38427734375,866.058837890625,64.5371428571,35.4155428571,31.849142857100002,34.6494285714
102,0.0,16.0,26.0,24.0,0.0,19.0,26.0,22.0,1.0,20.5,5.0,18.0,4.0,23.0,4.0,22.0,5.0,18.0,4.0,22.0,1086.2117919921875,1066.38037109375,65.9164195804,37.0835244755,29.6136503497,36.1832727273
103,19.0,10.0,27.0,29.0,2.0,23.0,30.0,26.0,18.0,22.0,17.0,10.0,6.0,30.0,3.0,17.0,32.0,23.0,15.0,22.0,937.9725952148438,967.2470703125,66.0059607843,37.7022745098,31.235137254899996,37.982745098
104,15.0,13.0,24.0,28.0,9.0,24.0,27.0,22.0,17.0,22.0,32.0,0.0,15.0,25.0,9.0,20.0,32.0,15.0,17.0,14.0,996.2745361328125,1006.0313720703125,64.1455609756,37.4138926829,30.9219512195,39.2452682927
105,3.0,0.0,15.0,23.0,0.0,3.0,31.0,2.0,9.0,14.0,0.0,1.0,27.0,24.0,3.0,0.0,26.0,22.0,19.0,22.0,1046.14892578125,988.8313598632812,66.3139816514,38.5100917431,28.527853211,37.3290275229
106,7.0,10.0,14.0,21.0,5.0,10.0,18.0,13.0,13.0,18.0,18.0,14.0,19.0,24.0,15.0,20.0,25.0,24.0,18.0,22.0,1048.819580078125,1028.682373046875,65.8942222222,38.2414222222,28.154666666700003,35.0633777778
107,9.0,7.0,25.0,32.0,1.0,11.0,32.0,18.0,14.5,19.5,8.0,9.0,9.0,31.0,4.0,15.0,32.0,23.0,17.0,23.0,950.2745971679688,920.4784545898438,68.8100939597,38.999387919499995,30.5144697987,36.695903355700004
